objectID,title,artistDisplayName,artistNationality,artistDisplayBio,objectDate,objectBeginDate,objectEndDate,department,classification,medium,culture,country,region,repository,objectURL,period,group,clean_title,title_length,happiness_score
282336,Hyéroglyphe,Anne Poirier,French,"French, born 1942",1980,1980,1980,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282336,1951-2000,European,hy roglyphe,2,
284021,Untitled (Vera's Shoulders),Raoul Hausmann,Austrian,"Austrian, Vienna 1886–1971 Limoges","1931, printed 1955",1931,1955,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284021,1951-2000,European,untitled vera s shoulders,4,6.1
284022,"From the Series ""My Ghost""",Adam Fuss,British,"British, born 1961",1999,1999,1999,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284022,1951-2000,European,from the series my ghost,5,5.0840000000000005
284031,"Ana, Vienna",Günter Brus,Austrian,"Austrian, born 1938",1964,1964,1964,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284031,1951-2000,European,ana vienna,2,5.92
284034,"Selbstbemalung I, Wien",Günter Brus,Austrian,"Austrian, born 1938",1964,1964,1964,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284034,1951-2000,European,selbstbemalung i wien,3,5.92
284036,"Starrkrampf, Wien",Günter Brus,Austrian,"Austrian, born 1938",1965,1965,1965,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284036,1951-2000,European,starrkrampf wien,2,
284037,Wiener Spaziergang,Günter Brus,Austrian,"Austrian, born 1938",1965,1965,1965,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284037,1951-2000,European,wiener spaziergang,2,
284038,"Malerei--Selbstbemalung--Selbstverstümmelung, Wien",Günter Brus,Austrian,"Austrian, born 1938",1965,1965,1965,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284038,1951-2000,European,malerei selbstbemalung selbstverst mmelung wien,5,
284039,"Selbstvertümmelung I, Wien",Günter Brus,Austrian,"Austrian, born 1938",1965,1965,1965,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284039,1951-2000,European,selbstvert mmelung i wien,4,5.92
284040,"Zerreißprobe, München",Günter Brus,Austrian,"Austrian, born 1938",1970,1970,1970,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284040,1951-2000,European,zerrei probe m nchen,4,
284116,The Plastic Surgery,Sophie Calle,French,"French, born Paris, 1953",2000,2000,2000,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284116,1951-2000,European,the plastic surgery,3,4.033333333333334
284117,Blind #14,Sophie Calle,French,"French, born Paris, 1953",1986,1986,1986,Photographs,Photographs,"Gelatin silver print, two chromogenic prints, and text panel",,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284117,1951-2000,European,blind,1,2.58
284118,Tableau (T9.79),Jean-Marc Bustamante,French,"French, born 1952","1979, printed 2000",1979,1979,Photographs,Photographs,Silver dye bleach print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284118,1951-2000,European,tableau t,2,
284119,Tableau (T30.78),Jean-Marc Bustamante,French,"French, born 1952","1978, printed 2000",1978,1978,Photographs,Photographs,Silver dye bleach print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284119,1951-2000,European,tableau t,2,
284120,"Suzanne & Lutz, white dress, army skirt",Wolfgang Tillmans,German,"German, born Remscheid, 1968",1993,1993,1993,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284120,1951-2000,European,suzanne lutz white dress army skirt,6,5.788
284121,Untitled (Right Panel of Triptych),Adam Fuss,British,"British, born 1961",1991,1991,1991,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284121,1951-2000,European,untitled right panel of triptych,5,5.673333333333333
284122,Untitled (Center Panel of Triptych),Adam Fuss,British,"British, born 1961",1991,1991,1991,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/284122,1951-2000,European,untitled center panel of triptych,5,5.260000000000001
281940,Love,Adam Fuss,British,"British, born 1961",1992,1992,1992,Photographs,Photographs,Silver dye bleach print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281940,1951-2000,European,love,1,8.42
281961,Untitled (Left Panel of Triptych),Adam Fuss,British,"British, born 1961",1991,1991,1991,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281961,1951-2000,European,untitled left panel of triptych,5,5.04
281962,"Corso Vittorio Emanuele, Naples",Thomas Struth,German,"German, born Geldern, 1954","1989, printed 1997",1989,1989,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281962,1951-2000,European,corso vittorio emanuele naples,4,
281963,"Sections of England, The Snow Horizon",Garry Fabian Miller,British,"British, born 1957",1977,1977,1977,Photographs,Photographs,Silver dye bleach print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281963,1951-2000,European,sections of england the snow horizon,6,5.66
281969,In the Mountains,Peter Fischli,Swiss,"Swiss, born 1952",1979,1979,1979,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281969,1951-2000,European,in the mountains,3,5.8133333333333335
281972,Wakening Guest 4:03 p.m. 29 November 1996 [JG],Christopher Bucklow,British,"British, born 1957",1996,1996,1996,Photographs,Photographs,Silver dye bleach print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281972,1951-2000,European,wakening guest p m november jg,6,5.739999999999999
281977,Mestanskeho Pivovaru,Patrick Faigenbaum,French,"French, born 1954",1994–96,1994,1996,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281977,1951-2000,European,mestanskeho pivovaru,2,
281980,Untitled (RAL 24),Richard Billingham,British,"British, born 1970",1995,1995,1995,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281980,1951-2000,European,untitled ral,2,
281981,Untitled (NRAL 33),Richard Billingham,British,"British, born 1970",1995,1995,1995,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281981,1951-2000,European,untitled nral,2,
281982,Untitled (RAL 42),Richard Billingham,British,"British, born 1970",1994,1994,1994,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281982,1951-2000,European,untitled ral,2,
281983,Untitled  (NRAL 16),Richard Billingham,British,"British, born 1970",1994,1994,1994,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281983,1951-2000,European,untitled nral,2,
281984,Untitled (RAL 38),Richard Billingham,British,"British, born 1970",1995,1995,1995,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281984,1951-2000,European,untitled ral,2,
281997,"Television Portrait (Lyo, Tokyo)",Paul Graham,British,"British, born 1956",1995,1995,1995,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/281997,1951-2000,European,television portrait lyo tokyo,4,6.28
282000,History of Job,Eduardo Garcia del Real Cortils,Spanish,"Spanish, born 1963",1996,1996,1996,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282000,1951-2000,European,history of job,3,5.580000000000001
282001,"Railway Station, Tomsk, Siberia",Bertien van Manen,Dutch,"Dutch, born 1935","1992, printed 1997",1992,1992,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282001,1951-2000,European,railway station tomsk siberia,4,5.66
282002,"Sasha's Attic Room, Rybinsk, Russia",Bertien van Manen,Dutch,"Dutch, born 1935","1991, printed 1997",1991,1991,Photographs,Photographs,Chromogenic print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/282002,1951-2000,European,sasha s attic room rybinsk russia,6,5.51
